ID,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,標高,電話番号,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,想定収容人数,対象となる町会・自治会
CC0000000525,ホテルルートイン,ホテルルートイン ナナオヒガシ（ヨンカイ）,hoterurutoin nanaohigashi（yonkai）,172022,,石川県七尾市本府中町ハ３１－１,石川県,七尾市,本府中町ハ,31番地1,,37.04186,136.96726,3.0,0767-53-0440,,,1.0,,1.0,,,,"屋内3,435人／屋外0人(面積の1/1)",袖ケ江地区（19町会）
CC0000000526,袖ケ江立体駐車場（４F）,ソデガエリッタイチュウシャジョウ（ヨンカイ）,sodegaerittaichushajo（yonkai）,172022,,石川県七尾市袖ケ江町１２,石川県,七尾市,袖ケ江町,12番地,,37.04375,136.96738,3.0,0767-53-1250,,,1.0,,1.0,,,,"屋内3,227人／屋外0人(面積の1/1)",袖ケ江地区（19町会）
CC0000000527,七尾市役所（４F）,ナナオシヤクショ（ヨンカイ）,nanaoshiyakusho（yonkai）,172022,,石川県七尾市袖ケ江町イ２５,石川県,七尾市,袖ケ江町イ,25番地,,37.04309,136.96743,3.0,0767-53-4111,,,1.0,,1.0,,,,屋内629人／屋外0人(面積の1/1),袖ケ江地区（19町会）
CC0000000528,のと共栄信用金庫,ノトキョウエイシンヨウキンコホンテン（サンカイ）,notokyoeishinyokinkohonten（sankai）,172022,,石川県七尾市桧物町３５,石川県,七尾市,桧物町,35番地,,37.04525,136.96525,9.0,0767-54-0111,,,1.0,,1.0,,,,"屋内1,155人／屋外0人(面積の1/1)",袖ケ江地区（19町会）
CC0000000529,徳田地区コミュニティセンター,トクダチクコミュニティセンター,tokudachikukomyuniteisenta,172022,,石川県七尾市中挟町リ２３,石川県,七尾市,中挟町リ,23番地,,37.01242,136.94905,3.8,0767-53-1111,1.0,1.0,,1.0,,,1.0,,屋内211人／屋外0人(面積の1/2),徳田地区（16町会）
CC0000000530,県立七尾東雲高等学校,ケンリツナナオシノノメコウトウガッコウ,kenritsunanaoshinonomekotogakko,172022,,石川県七尾市下町戊部１２－１,石川県,七尾市,下町戊部,12番地1,,37.0128,136.92935,29.8,0767-53-1111,1.0,1.0,,1.0,,1.0,1.0,,"屋内1,010人／屋外12,300人(面積の1/2)",徳田地区（16町会）
CC0000000531,朝日小学校,アサヒショウガッコウ,asahishogakko,172022,,石川県七尾市下町戌１７－１,石川県,七尾市,下町戌,17番地1,,37.01013,136.93069,30.5,0767-54-0592,1.0,1.0,,1.0,,1.0,1.0,,"屋内522人／屋外6,630人(面積の1/2)",徳田地区（16町会）
CC0000000532,南部体育館,ナンブタイイクカン,nambutaiikukan,172022,,石川県七尾市下町戌１７－１,石川県,七尾市,下町戌,17番地1,,37.01031,136.92987,30.3,0767-57-1252,1.0,1.0,,1.0,,,1.0,,屋内412人／屋外0人(面積の1/2),徳田地区（16町会）
CC0000000533,ふれあいセンター山びこ荘,フレアイセンターヤマビコソウ,fureaisentayamabikoso,172022,,石川県七尾市多根町ハカノ谷内５５５－７,石川県,七尾市,多根町ハカノ谷内,555番地7,,36.97564,136.96112,340.6,0767-57-1411,1.0,1.0,,1.0,,1.0,1.0,,"屋内270人／屋外1,000人(面積の1/2)",徳田地区（16町会）
CC0000000534,能登国分寺公園,ノトコクブンジコウエン,notokokubunjikoen,172022,,石川県七尾市国分町リ９,石川県,七尾市,国分町リ,9,,37.02467,136.95747,14.7,0767-57-1540,1.0,1.0,,1.0,,1.0,1.0,,"屋内0人／屋外27,664人(面積の1/2)",徳田地区（16町会）
CC0000000535,能登歴史公園,ノトレキシコウエン,notorekishikoen,172022,,石川県七尾市国分町地内,石川県,七尾市,国分町地内,,,37.02283,136.95486,16.0,0767-57-1252,1.0,1.0,,1.0,,1.0,1.0,,"屋内0人／屋外30,000人(面積の1/2)",徳田地区（16町会）
CC0000000536,オークラ,オークラ コクブンテン（リッタイチュウシャバ３F）,okura kokubunten（rittaichushaba３F）,172022,,石川県七尾市国分町ラ５０,石川県,七尾市,国分町ラ,50,,37.03497,136.95199,6.0,0767-57-0022,,,1.0,,1.0,,,,"屋内1,526人／屋外0人(面積の1/1)",徳田地区（16町会）
CC0000000537,矢田郷地区コミュニティセンター,ヤダゴウチクコミュニティセンター,yadagochikukomyuniteisenta,172022,,石川県七尾市本府中町ヲ３８,石川県,七尾市,本府中町ヲ,38,,37.03364,136.96987,14.8,0767-52-9850,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内1,700人／屋外2,250人(面積の1/2)",矢田郷地区（24町会）
CC0000000538,七尾市文化ホール,ナナオシブンカホール,nanaoshibunkahoru,172022,,石川県七尾市本府中町ヲ３８,石川県,七尾市,本府中町ヲ,38,,37.03329,136.96955,14.3,0767-57-5100,1.0,1.0,1.0,1.0,1.0,,1.0,,屋内990人／屋外0人(座席数),矢田郷地区（24町会）
CC0000000539,天神山小学校,テンジンヤマショウガッコウ,tenjinyamashogakko,172022,,石川県七尾市本府中町天神山１,石川県,七尾市,本府中町天神山,1,,37.03161,136.97477,21.7,0767-53-6857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内460人／屋外3,760人(面積の1/2)",矢田郷地区（24町会）
CC0000000540,七尾東部中学校,ナナオトウブチュウガッコウ,nanaotobuchugakko,172022,,石川県七尾市藤野町リ１,石川県,七尾市,藤野町リ,1,,37.02789,136.96923,15.9,0767-52-5240,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内1,054人／屋外18,550人(面積の1/2)",矢田郷地区（24町会）
CC0000000541,七尾市城山体育館,ナナオシジョウヤマタイイクカン,nanaoshijoyamataiikukan,172022,,石川県七尾市後畠町後山４－５,石川県,七尾市,後畠町後山,４ー５,,37.02616,136.97123,40.6,0767-53-1160,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,屋内730人／屋外0人(面積の1/2),矢田郷地区（24町会）
CC0000000542,七尾市城山運動公園,ナナオシジョウヤマウンドウコウエン,nanaoshijoyamaundokoen,172022,,石川県七尾市後畠町ハ２,石川県,七尾市,後畠町ハ,2,,37.0242,136.97142,45.5,0767-52-5201,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内0人／屋外52,000人(面積の1/2)",矢田郷地区（24町会）
CC0000000543,鵬学園高等学校（第２グラウンド）,オオトリガクエンコウトウガッコウ（ダイニグラウンド）,otorigakuenkotogakko（dainiguraundo）,172022,,石川県七尾市矢田町メ１,石川県,七尾市,矢田町メ,1,,37.03095,136.97638,27.6,0767-53-0812,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内0人／屋外3,615人(面積の1/2)",矢田郷地区（24町会）
CC0000000544,七尾東部用地（本府中グラウンドゴルフ場）,ナナオトウブヨウチ（モトフチュウグラウンドゴルフジョウ）,nanaotobuyochi（motofuchuguraundogorufujo）,172022,,石川県七尾市本府中町ソ,石川県,七尾市,本府中町ソ,,,37.03953,136.97203,5.0,0767-52-6419,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内0人／屋外2,550人(面積の1/2)",矢田郷地区（24町会）
CC0000000545,矢田郷児童公園,ヤタゴウジドウコウエン,yatagojidokoen,172022,,石川県七尾市矢田町３－４１,石川県,七尾市,矢田町,３ー４１,,37.04102,136.97662,5.0,0767-52-6419,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,屋内0人／屋外850人(面積の1/2),矢田郷地区（24町会）
CC0000000546,旧七尾工業高校　運動場,キュウナナオコウギョウコウコウ（ウンドウジョウ）,kyu　nanaokogyokoko（undojo）,172022,,石川県七尾市南ヶ丘３４２,石川県,七尾市,南ヶ丘,342,,37.01833,136.96311,44.0,0767-53-2184,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内0人／屋外7,505人(面積の1/2)",矢田郷地区（24町会）
CC0000000547,東湊地区コミュニティセンター,ヒガシミナトチクコミュニティセンター,higashiminatochikukomyuniteisenta,172022,,石川県七尾市佐味町ト２－３,石川県,七尾市,佐味町ト,２ー３,,37.04838,136.99758,3.0,076-225-1262,1.0,1.0,1.0,1.0,1.0,,1.0,,屋内145人／屋外0人(面積の1/2),東湊地区（7町会）
CC0000000548,東湊小学校,ヒガシミナトショウガッコウ,higashiminatoshogakko,172022,,石川県七尾市佐味町１０－４,石川県,七尾市,佐味町,１０ー４,,37.04711,136.99845,3.0,0767-53-8429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内350人／屋外4,480人(面積の1/2)",東湊地区（7町会）
CC0000000549,郷橋ふれあいセンター,ゴウバシフレアイセンター,gobashifureaisenta,172022,,石川県七尾市殿町ル６７,石川県,七尾市,殿町ル,67番地,,37.05074,137.02322,69.0,076-225-1811,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,屋内90人／屋外0人(面積の1/2),東湊地区（7町会）
CC0000000550,希望の丘公園,キボウノオカコウエン,kibonokakoen,172022,,石川県七尾市万行町４３－１８８,石川県,七尾市,万行町,４３ー１８８,,37.03003,136.98943,58.0,0767-52-5319,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内0人／屋外118,970人(面積の1/2)",東湊地区（7町会）
CC0000000551,西湊地区コミュニティセンター,ニシミナトチクコミュニティセンター,nishiminatochikukomyuniteisenta,172022,,石川県七尾市津向町松山１,石川県,七尾市,津向町松山,1,,37.05771,136.95045,4.0,0767-52-3149,1.0,1.0,1.0,1.0,1.0,,1.0,,屋内244人／屋外0人(面積の1/2),西湊地区（13町会）
CC0000000552,小丸山小学校,コマルヤマショウガッコウ,komaruyamashogakko,172022,,石川県七尾市小島町チ３,石川県,七尾市,小島町チ,３ー４１,,37.0466,136.95365,5.0,0767-52-0959,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内466人／屋外3,060人(面積の1/2)",西湊地区（13町会）
CC0000000553,七尾総合市民体育館,ナナオソウゴウシミンタイイクカン,nanaosogoshimintaiikukan,172022,,石川県七尾市小島町西４,石川県,七尾市,小島町西,4,,37.04376,136.95279,15.0,0767-52-9266,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,屋内720人／屋外0人(面積の1/2),西湊地区（13町会）
CC0000000554,七尾市武道館,ナナオシブドウカン,nanaoshibudokan,172022,,石川県七尾市小島町西５,石川県,七尾市,小島町西,5,,37.0437,136.95351,15.0,0767-52-2623,1.0,1.0,1.0,1.0,1.0,,1.0,,"屋内1,172人／屋外0人(面積の1/2)",西湊地区（13町会）
CC0000000555,西部グラウンド,セイブグラウンド,seibuguraundo,172022,,石川県七尾市小島町西１－１,石川県,七尾市,小島町西,１ー１,,37.04428,136.95189,15.0,0767-52-5432,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内0人／屋外3,000人(面積の1/2)",西湊地区（13町会）
CC0000000556,旧御祓中学校　運動場,キュウミソギチュウガッコウ（ウンドウジョウ）,kyu　misogichugakko（undojo）,172022,,石川県七尾市小島町ル４２,石川県,七尾市,小島町ル,42,,37.05165,136.95318,4.0,0767-53-4242,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内0人／屋外6,325人(面積の1/2)",西湊地区（13町会）
CC0000000557,つつじが浜児童公園,ツツジガハマジドウコウエン,tsutsujigahamajidokoen,172022,,石川県七尾市つつじが浜３－６２,石川県,七尾市,つつじが浜,３ー６２,,37.05421,136.95966,1.0,0767-53-7687,1.0,1.0,,1.0,,1.0,1.0,,"屋内0人／屋外1,000人(面積の1/2)",西湊地区（13町会）
CC0000000558,西湊公園,ニシミナトコウエン,nishiminatokoen,172022,,石川県七尾市津向町ヘ８３,石川県,七尾市,津向町ヘ,83,,37.05756,136.95103,4.0,0767-53-8747,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内0人／屋外2,090人(面積の1/2)",西湊地区（13町会）
CC0000000559,エレガンテなぎの浦（４F）,エレガンテナギノウラ（ヨンカイ）,eregantenaginora（yonkai）,172022,,石川県七尾市津向町ト１０７－４,石川県,七尾市,津向町ト,１０７ー４,,37.05647,136.95516,15.0,0767-53-8434,,,1.0,,1.0,,,,"屋内4,810人／屋外0人(面積の1/1)",西湊地区（13町会）
CC0000000560,七尾西湊合同庁舎（４F）,ナナオニシミナトゴウドウチョウシャ（ヨンカイ）,nanaonishiminatogodochosha（yonkai）,172022,,石川県七尾市小島町大開地３－７,石川県,七尾市,小島町大開地,３ー７,,37.05504,136.95493,10.0,0767-53-8429,,,1.0,,1.0,,,,屋内447人／屋外0人(面積の1/1),西湊地区（13町会）
CC0000000561,石崎小学校,イシザキショウガッコウ,ishizakishogakko,172022,,石川県七尾市石崎町子４０,石川県,七尾市,石崎町子,40,,37.07544,136.93081,2.0,0767-53-8429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内100人／屋外4,560人(面積の1/2)",石崎地区（8町会）
CC0000000562,能登香島中学校,ノトカオシマチュウガッコウ,notokaoshimachugakko,172022,,石川県七尾市石崎町香島１－９６,石川県,七尾市,石崎町香島,１ー９６,,37.08026,136.92775,2.0,0767-52-0223,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内815人／屋外5,600人(面積の1/2)",石崎地区（8町会）
CC0000000563,和倉温泉運動公園,ワクラオンセンウンドウコウエン（タモクテキグラウンド、ヨットハーバー）,"wakuraonsenundokoen
（tamokutekiguraundo、yottohaba）",172022,,石川県七尾市石崎町チ３２－１,石川県,七尾市,石崎町チ,３２ー１,,37.08578,136.92949,3.0,0767-52-3382,1.0,1.0,,1.0,,1.0,1.0,,"屋内88人／屋外22,520人(面積の1/2)",石崎地区（8町会）
CC0000000564,和倉地区コミュニティセンター,ワクラチクコミュニティセンター,wakurachikukomyuniteisenta,172022,,石川県七尾市和倉町ク１５－３,石川県,七尾市,和倉町ク,１５ー３,,37.08554,136.91724,11.0,0767-62-2072,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,屋内90人／屋外1570人(面積の1/2),和倉地区（8町会）
CC0000000565,和倉小学校,ワクラショウガッコウ,wakurashogakko,172022,,石川県七尾市和倉町ひばり３－９０,石川県,七尾市,和倉町ひばり,３ー９０,,37.08308,136.91803,17.0,0767-62-2837,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内396人／屋外3,600人(面積の1/2)",和倉地区（8町会）
CC0000000566,和倉温泉お祭り会館,ワクラオンセンオマツリリカイカン,wakuraonsenomatsuririkaikan,172022,,石川県七尾市和倉町２－１３－１,石川県,七尾市,和倉町,２ー１３ー１,,37.0866,136.91867,3.2,0767-62-0999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内406人／屋外5,252人(面積の1/2)",和倉地区（8町会）
CC0000000567,わくわくプラザ,ワクワクプラザ,wakuwakupuraza,172022,,石川県七尾市和倉町ヨ１０９,石川県,七尾市,和倉町ヨ,109,,37.09074,136.91636,1.0,0767-62-2084,1.0,1.0,,1.0,,1.0,1.0,,"屋内0人／屋外1,900人(面積の1/2)",和倉地区（8町会）
CC0000000568,和倉１号児童公園,ワクライチゴウジドウコウエン,wakuraichigojidokoen,172022,,石川県七尾市和倉町ひばり２－９０,石川県,七尾市,和倉町ひばり,２ー９０,,37.08409,136.92266,6.0,0767-62-2070,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内0人／屋外7,632人(面積の1/2)",和倉地区（8町会）
CC0000000569,和倉温泉湯っ足りパーク,ワクラオンセンユッアシリパーク,wakuraonsenyuaashiripaku,172022,,石川県七尾市和倉町ひばり１,石川県,七尾市,和倉町ひばり,1,,37.08756,136.92405,1.0,0767-62-4332,1.0,1.0,,1.0,,1.0,1.0,,"屋内0人／屋外7,380人(面積の1/2)",和倉地区（8町会）
CC0000000570,南大呑地区コミュニティセンター,ミナミオオノミチクコミュニティセンター,minamionomichikukomyuniteisenta,172022,,石川県七尾市黒崎町関上野３４２－８,石川県,七尾市,黒崎町関上野,３４２－８,,36.98315,137.04898,39.0,0767-53-8456,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,屋内110人／屋外0人(面積の1/2),南大呑地区（9町会）
CC0000000571,旧有磯小学校,キュウアリイソショウガッコウ（ウンドウジョウ）,kyu　ariisoshogakko（undojo）,172022,,石川県七尾市黒崎町ヲ１００－１,石川県,七尾市,黒崎町ヲ,１００－１,,36.98243,137.04877,39.0,0767-53-8429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内0人／屋外3,643人(面積の1/2)",南大呑地区（9町会）
CC0000000572,旧涛南中学校,キュウトウナンチュウガッコウ,kyu　tonanchugakko,172022,,石川県七尾市黒崎町サ２０－１,石川県,七尾市,黒崎町サ,２０ー１,,36.99467,137.0519,35.0,0767-62-0999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内429人／屋外3,500人(面積の1/2)",南大呑地区（9町会）
CC0000000573,北大呑地区コミュニティセンター,キタオオノチクコミュニティセンター,kitaonochikukomyuniteisenta,172022,,石川県七尾市庵町ウ２３－２,石川県,七尾市,庵町ウ,23ー２,,37.04074,137.04614,16.0,0767-59-1111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,屋内332人／屋外0人(面積の1/2),北大呑地区（12町会）
CC0000000574,大呑放課後児童クラブ,オオノミホウカゴジドウクラブ,onomihokagojidokurabu,172022,,石川県七尾市庵町ヨ３１,石川県,七尾市,庵町ヨ,31,,37.02636,137.04856,8.0,0767-53-8434,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,屋内115人／屋外284人(面積の1/2),北大呑地区（12町会）
CC0000000575,崎山地区コミュニティセンター,サキヤマチクコミュニティセンター,sakiyamachikukomyuniteisenta,172022,,石川県七尾市鵜浦町下１３－２,石川県,七尾市,鵜浦町下,１３ー２,,37.09727,137.04635,2.0,0767-53-8434,,1.0,,1.0,,1.0,,,"屋内523人／屋外3,589人(面積の1/2)",崎山地区（4町会）
CC0000000576,旧北嶺中学校,キュウホクレイチュウガッコウ,kyu　hokureichugakko,172022,,石川県七尾市湯川町３－６８－２,石川県,七尾市,湯川町,３ー６８ー２,,37.08343,137.04228,33.0,0767-59-1124,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内905人／屋外4,939人(面積の1/2)",崎山地区（4町会）
CC0000000577,高階地区コミュニティセンター,タカシナチクコミュニティセンター,takashinachikukomyuniteisenta,172022,,石川県七尾市町屋町ホ５５,石川県,七尾市,町屋町ホ,55,,37.03271,136.90198,8.0,0767-59-1114,1.0,1.0,,1.0,,1.0,1.0,,"屋内415人／屋外4,718人(面積の1/2)",高階地区（9町会）
CC0000000578,旧高階保育園,キュウタカシナホイクエン,kyu　takashinahoikuen,172022,,石川県七尾市池崎町い２３,石川県,七尾市,池崎町い,23,,37.03233,136.90759,9.0,0767-58-1111,,,,1.0,,1.0,,,屋内146人／屋外636人(面積の1/2),高階地区（9町会）
CC0000000579,田鶴浜地区コミュニティセンター,タツルハマチクコミュニティセンター,tatsuruhamachikukomyuniteisenta,172022,,石川県七尾市垣吉町へ２４,石川県,七尾市,垣吉町へ,24,,37.05963,136.89507,13.0,0767-58-1213,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内483人／屋外2,350人(面積の1/2)",田鶴浜地区（20町会）
CC0000000580,田鶴浜小学校,タツルハマショウガッコウ,tatsuruhamashogakko,172022,,石川県七尾市田鶴浜町ホ３６５,石川県,七尾市,田鶴浜町ホ,365,,37.05954,136.89192,18.0,0767-57-3239,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内239人／屋外14,084人(面積の1/2)",田鶴浜地区（20町会）
CC0000000581,田鶴浜高等学校,ケンリツタツルハマコウトウガッコウ,kenritsutatsuruhamakotogakko,172022,,石川県七尾市上野ヶ丘町５９,石川県,七尾市,上野ヶ丘町,59,,37.05948,136.88375,14.0,0767-53-8419,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内1,065人／屋外2,210人（面積の1/2）",田鶴浜地区（20町会）
